"replicate"	"S"	"C"	"links"	"modularity_t"	"Mean_Trophic_Level"	"Mean_Omnivory"	"links.species"	"indegree"	"outdegree"	"basal"	"top"	"intermediate"	"omnivory"	"S_top"	"S_intermediate"	"S_basal"	"ratio"	"colonization_rate"	"extinction_rate"	"Distance"	"Surface"
"11"	100	35	0.491596638655462	585	0.00973679864270386	3.44453287463694	0.839336315642181	16.7142857142857	16.7142857142857	16.7142857142857	0.0857142857142857	0.0285714285714286	0.885714285714286	0.685714285714286	1	31	3	0.210526315789474	0.98380459428792	0.918854333453849	46.3635255232	13
"12"	100	34	0.410873440285205	461	0.0152812271731191	3.04499941643772	0.607066752716975	13.5588235294118	13.5588235294118	13.5588235294118	0.0882352941176471	0.0294117647058824	0.882352941176471	0.676470588235294	1	30	3	0.210526315789474	0.789768388389896	0.542157921352679	601.842205373	189.4
"13"	100	36	0.387301587301587	488	0.0352222606015518	2.87909043564985	0.49281905925609	13.5555555555556	13.5555555555556	13.5555555555556	0.0833333333333333	0	0.916666666666667	0.722222222222222	0	33	3	0.210526315789474	0.82291393342402	0.496992871756888	506.954534728	261.14
"14"	100	34	0.458110516934046	514	0.0167468749999999	3.31922699252982	0.775793605429878	15.1176470588235	15.1176470588235	15.1176470588235	0.0882352941176471	0.0294117647058824	0.882352941176471	0.735294117647059	1	30	3	0.210526315789474	0.805768793583533	0.783210864144684	556.036919123	34.11
"15"	100	40	0.433333333333333	676	0.007252426171345	3.53763271999872	1.0272904428262	16.9	16.9	16.9	0.1	0	0.9	0.725	0	36	4	0.210526315789474	0.936577910176848	0.54987944675698	181.562088195	179.28
"16"	100	58	0.44767090139141	1480	0.018643534376317	3.64377139487847	1.01308109943821	25.5172413793103	25.5172413793103	25.5172413793103	0.0517241379310345	0	0.948275862068966	0.793103448275862	0	55	3	0.210526315789474	1	0.0341065848770622	0	7022.79
"17"	100	33	0.464015151515151	490	0.0184213333333333	3.52800883840265	0.965574935100698	14.8484848484848	14.8484848484848	14.8484848484848	0.0909090909090909	0.0303030303030303	0.878787878787879	0.727272727272727	1	29	3	0.210526315789474	0.681633068894082	0.589799654628289	911.407444709	134.97
"18"	100	36	0.405555555555556	511	0	3.19611294251288	0.765646937601719	14.1944444444444	14.1944444444444	14.1944444444444	0.0833333333333333	0	0.916666666666667	0.694444444444444	0	33	3	0.210526315789474	0.639642224247635	0.516694031696258	1031.61706663	227
"19"	100	32	0.444556451612903	441	0	3.16493890558164	0.660269825715465	13.78125	13.78125	13.78125	0.09375	0.03125	0.875	0.75	1	28	3	0.210526315789474	0.661276633676036	0.531234306278598	969.682990291	204.7
"20"	100	27	0.458689458689459	322	0.00778520558989523	3.41312413822528	0.964523650325453	11.9259259259259	11.9259259259259	11.9259259259259	0.111111111111111	0	0.888888888888889	0.740740740740741	0	24	3	0.210526315789474	0.567384416048865	0.436447484405171	1238.47367734	401.67
"21"	100	46	0.395169082125604	818	0.025132114096078	3.3901411525145	0.839121082732366	17.7826086956522	17.7826086956522	17.7826086956522	0.0652173913043478	0	0.934782608695652	0.804347826086957	0	43	3	0.210526315789474	0.993740717715862	0.459547282384032	17.9188097598	340.82
"22"	100	55	0.467003367003367	1387	0.00554544129509223	3.66406851656381	1.01464003462034	25.2181818181818	25.2181818181818	25.2181818181818	0.0545454545454545	0	0.945454545454545	0.8	0	52	3	0.210526315789474	1	0.117469556023169	0	3881.87
"23"	100	46	0.438647342995169	908	0.00833393716681325	3.50900023327328	0.930159787507873	19.7391304347826	19.7391304347826	19.7391304347826	0.0652173913043478	0.0217391304347826	0.91304347826087	0	1	42	3	0.210526315789474	1	0.426426413255607	0	431.34
"24"	100	39	0.408232118758435	605	0.0139149066421794	3.02621574565795	0.546600378171361	15.5128205128205	15.5128205128205	15.5128205128205	0.0769230769230769	0	0.923076923076923	0.743589743589744	0	36	3	0.210526315789474	0.885752600893008	0.512249226744953	327.062643482	234.29
"25"	100	32	0.40625	403	0.0241162668304021	3.44640448018103	1.00856942491846	12.59375	12.59375	12.59375	0.09375	0	0.90625	0	0	29	3	0.210526315789474	0.996622951123328	0.592110560503207	9.66767332478	132.77
"26"	100	43	0.461240310077519	833	0.00932646079881648	3.55331656415317	1.02100419751269	19.3720930232558	19.3720930232558	19.3720930232558	0.0697674418604651	0	0.930232558139535	0.744186046511628	0	40	3	0.210526315789474	1	0.385653939346829	0	576.43
"27"	100	34	0.472370766488414	530	0.0107845008589425	3.56433293712457	0.996925165104194	15.5882352941176	15.5882352941176	15.5882352941176	0.0882352941176471	0	0.911764705882353	0.764705882352941	0	31	3	0.210526315789474	0.991771925083127	0.961780262471698	23.5549864077	9.58
"28"	100	41	0.408536585365854	670	0.014847502853088	3.04715182482453	0.566512089717666	16.3414634146341	16.3414634146341	16.3414634146341	0.0731707317073171	0	0.926829268292683	0.707317073170732	0	38	3	0.210526315789474	0.985041076929667	0.608396260412341	42.8237750817	118.25
"29"	100	36	0.430952380952381	543	0.0235292808828764	3.37724595992523	0.868833608338118	15.0833333333333	15.0833333333333	15.0833333333333	0.0833333333333333	0.0277777777777778	0.888888888888889	0.722222222222222	1	32	3	0.210526315789474	0.990101430945617	0.755432622204738	28.3372066841	41.56
"30"	100	41	0.48109756097561	789	0	3.60785842033067	1.01124388459742	19.2439024390244	19.2439024390244	19.2439024390244	0.0731707317073171	0.024390243902439	0.902439024390244	0.780487804878049	1	37	3	0.210526315789474	0.993695644383066	0.57028790894536	18.047843799	155.06
"31"	100	29	0.383004926108374	311	0.0218592171717173	2.97858717946452	0.642924474057579	10.7241379310345	10.7241379310345	10.7241379310345	0.103448275862069	0	0.896551724137931	0.689655172413793	0	26	3	0.210526315789474	0.990306098254107	0.763832672388794	27.7512937314	39.15
"32"	100	37	0.4496996996997	599	0	3.31885423679923	0.789840955790198	16.1891891891892	16.1891891891892	16.1891891891892	0.0810810810810811	0	0.918918918918919	0.756756756756757	0	34	3	0.210526315789474	0.993809753742074	0.654886609100797	17.7211763309	84.96
"33"	100	35	0.428571428571429	510	0	3.33095258405419	0.841213027025439	14.5714285714286	14.5714285714286	14.5714285714286	0.0857142857142857	0.0285714285714286	0.885714285714286	0.771428571428571	1	31	3	0.210526315789474	0.780851217024273	0.43938713953968	627.369908078	393.36
"34"	100	31	0.420430107526882	391	0.0180865567375533	2.98323724578251	0.617028407491973	12.6129032258065	12.6129032258065	12.6129032258065	0.0967741935483871	0.032258064516129	0.870967741935484	0.67741935483871	1	27	3	0.210526315789474	0.788628373906436	0.723487918719977	605.105790833	52.16
"35"	100	25	0.411666666666667	247	0	2.69963590432758	0.405546121251627	9.88	9.88	9.88	0.12	0	0.88	0.64	0	22	3	0.210526315789474	0.677419730536362	1	923.469212346	7.3
"36"	100	22	0.357142857142857	165	0.0652398944154028	2.68494023360784	0.487279672748784	7.5	7.5	7.5	0.136363636363636	0.0454545454545455	0.818181818181818	0.681818181818182	1	18	3	0.210526315789474	0.364095702664848	0.427664112316478	1820.44004602	427.56
"37"	100	17	0.422794117647059	115	0	3.24405800068505	1.10823381505594	6.76470588235294	6.76470588235294	6.76470588235294	0.235294117647059	0	0.764705882352941	0.588235294117647	0	13	4	0.210526315789474	0.31791174947409	0.580040554453187	1952.65352252	144.67
"38"	100	21	0.511904761904762	215	0.0195016022938099	3.51794510907811	1.04295400520607	10.2380952380952	10.2380952380952	10.2380952380952	0.142857142857143	0	0.857142857142857	0.761904761904762	0	18	3	0.210526315789474	0.343762219468757	0.67180294334065	1878.64988552	75.33
