"Site"	"n"	"L"	"C"	"Modularity"	"Mean_trophic_level"	"Mean_Omnivory_Index"	"Richesse_spe"	"Links_per_species"	"indegree"	"outdegree"	"Percentage_basal"	"Percentage_top"	"Percentage_intermediate"	"Omnivory"	"S_Top"	"S_intermediate"	"S_Basal"	"Reseau"	"Bois"	"Cultures"	"Prairies"	"Surf_Urbanisees"	"Longueur_haies"	"Nb_de_mares"	"Vegetation_aquatique"	"Perimetre"	"Surface"	"Pente_en_rive_moyenne"	"Profondeur_maximum"	"Ecrevisses"	"Poissons"	"Hydroperiode"	"Anthropique"	"Ripysylve"	"Distance"	"Acilius spp."	"Aeshnidae"	"Anguille"	"Anisoptere"	"Asellus aquaticus"	"Bivalve"	"Brochet"	"Carpe"	"Chironomide"	"Colymbetes spp."	"Corises"	"Crapaud commun"	"Crevette spp."	"Culicidae"	"Cybister spp."	"Dytique"	"Dytiscus spp."	"Ecrevisse de Louisiane"	"Ephemere"	"Epinoche"	"Gambusie"	"Gammare spp."	"Gardon"	"Gasteropode spp."	"Gerridae"	"Glossiphonie"	"Graphoderus spp."	"Grenouille agile"	"Grenouille verte"	"Gyrinidae"	"Hirudinea"	"Hydrochara spp."	"Hydrometridae"	"Hydrophilidae"	"Hygrobia hermanni"	"Libellulidae"	"Limnee"	"Naucoridae"	"Nepidae"	"Notonecta glauca"	"Pelodyte ponctue"	"Perche franche"	"Perche-soleil"	"Physe"	"Poisson-chat"	"Rainette verte"	"Ranatre"	"Rotengle"	"Salamandre tachetee"	"Tanche"	"Trichoptere"	"Triton marbre"	"Triton palme"	"Zygoptere"	"Phytoplankton"	"Zooplankton"	"Detritus"	"Macrophyte"
"11"	"107"	6	9	0.25	0	1.48484848484848	0.307277318640955	6	1.5	1.5	1.5	0.333333333333333	0	0.5	0.333333333333333	0	3	2	"Briere"	0.604229829	0	0.048678276	0.000142924	0	4	"intermediaire"	14.68	13	20.56	0.5	1	0	"Temporaire"	"Agricole"	NA	46.3635255232	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"12"	"108"	10	37	0.37	0	2.1125	0.390880766369048	10	3.7	3.7	3.7	0.3	0	0.7	0.6	0	7	3	"Briere"	0.208107811	0.416476998	0.092616778	0.058284363	917.9703744	4	"peu"	53.07	189.4	11.77	0.9	1	0	"Temporaire"	"Recreationnel"	95	601.842205373	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"13"	"109"	12	65	0.451388888888889	0	2.87770061728395	0.734657020421278	12	5.41666666666667	5.41666666666667	5.41666666666667	0.25	0	0.75	0.666666666666667	0	9	3	"Briere"	0.194484517	0.346211442	0.153071601	0.102928066	1058.855164	1	"beaucoup"	64.42	261.14	29.08	1.1	0	0	"Permanent"	"Recreationnel"	20	506.954534728	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"
"14"	"111"	16	69	0.26953125	0.0738525390625	2.06570049894958	0.264537821949644	16	4.3125	4.3125	4.3125	0.25	0	0.75	0.5	0	12	4	"Briere"	0.173260785	0.333594073	0.261815091	0.0828384	1430.709483	2	"peu"	21.59	34.11	21.18	0.5	1	0	"Temporaire"	"Agricole"	40	556.036919123	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"15"	"112"	29	316	0.375743162901308	0.0076530612244897	2.82655848280486	0.506590913454534	29	10.8965517241379	10.8965517241379	10.8965517241379	0.103448275862069	0	0.896551724137931	0.655172413793103	0	26	3	"Briere"	0.046931553	0.006661375	0.814268946	0.025453363	1617.825203	3	"intermediaire"	53.09	179.28	8.53	0.25	1	0	"Permanent"	"Agricole"	30	181.562088195	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"16"	"1123"	12	59	0.409722222222222	0.152994791666667	2.37672607578677	0.492541815913104	12	4.91666666666667	4.91666666666667	4.91666666666667	0.25	0	0.75	0.666666666666667	0	9	3	"Briere"	0.262353768	0.097109125	0.14960703	0.005330751	342.930408	2	"beaucoup"	358.57	7022.79	9.69	2.983101387	1	1	"Permanent"	"Agricole"	0	0	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"
"17"	"114"	10	39	0.39	0	2.36190476190476	0.511431000971817	10	3.9	3.9	3.9	0.3	0	0.7	0.6	0	7	3	"Briere"	0.036648079	0.530458088	0.352899753	0.024916902	2179.593339	3	"peu"	45.67	134.97	24.62	1.25	0	0	"Temporaire"	"Agricole"	100	911.407444709	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"
"18"	"1141"	10	35	0.35	0	2.10416666666667	0.333452690972222	10	3.5	3.5	3.5	0.3	0	0.7	0.5	0	7	3	"Briere"	0.162718768	0.174214402	0.262489216	0.144198906	481.828879	2	"beaucoup"	59.05	227	13.13	0.75	0	0	"Permanent"	"Recreationnel"	NA	1031.61706663	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"19"	"115"	21	226	0.512471655328798	0	3.77415671900846	1.2114537273586	21	10.7619047619048	10.7619047619048	10.7619047619048	0.142857142857143	0	0.857142857142857	0.80952380952381	0	18	3	"Briere"	0.045445132	0.483904386	0.38008965	0.027824275	2547.248535	3	"intermediaire"	61.51	204.7	34.99	2.2	0	0	"Permanent"	"Agricole"	45	969.682990291	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"20"	"116"	6	8	0.222222222222222	0	1.58333333333333	0.301215277777777	6	1.33333333333333	1.33333333333333	1.33333333333333	0.333333333333333	0	0.5	0.333333333333333	0	3	2	"Mes"	0.142898171	0.229496371	0.215136133	0.122165345	697.3736081	1	"peu"	94.39	401.67	23.03	0.75	0	1	"Permanent"	"Recreationnel"	NA	1238.47367734	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"21"	"1178"	10	33	0.33	0	2.01019607843137	0.280693964775453	10	3.3	3.3	3.3	0.3	0	0.7	0.6	0	7	3	"Briere"	0.318068057	0.138828172	0.449840784	0.042266833	398.1906515	2	"intermediaire"	82.27	340.82	12.68	0.5	1	1	"Permanent"	"Agricole"	50	17.9188097598	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"22"	"1179"	10	34	0.34	0.193028095733611	1.94984306340239	0.338804854871369	10	3.4	3.4	3.4	0.3	0	0.7	0.6	0	7	3	"Briere"	0.345713257	0.148975167	0.268695028	0.01747242	509.9431604	6	"beaucoup"	256.61	3881.87	8.53	2.178402832	1	1	"Permanent"	"Agricole"	0	0	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"
"23"	"118"	10	44	0.44	0	2.84705882352941	0.803861838853188	10	4.4	4.4	4.4	0.2	0	0.7	0.6	0	7	2	"Briere"	0.012859528	0.059560412	0.478792177	0.015766512	1412.803095	0	"intermediaire"	98.78	431.34	12.13	0.35	1	0	"Permanent"	"Agricole"	20	0	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"
"24"	"1180"	5	5	0.2	0.3	1.33333333333333	0.136111111111111	5	1	1	1	0.6	0.2	0.2	0.2	1	1	3	"Briere"	0.00069588	0.179424358	0.74224704	0.016422427	1677.037142	1	"peu"	58.29	234.29	25.99	0.9	0	0	"Permanent"	"Recreationnel"	100	327.062643482	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"25"	"119"	6	7	0.194444444444444	0.489795918367347	1.31944444444444	0.302276234567901	6	1.16666666666667	1.16666666666667	1.16666666666667	0.5	0.333333333333333	0.166666666666667	0	2	1	3	"Briere"	0.602306733	0.014842287	0	0.004233578	0	4	"peu"	57.2	132.77	20.14	0.95	1	1	"Temporaire"	"Agricole"	50	9.66767332478	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"26"	"1199"	12	52	0.361111111111111	0.141787190082645	2.27947154471545	0.38146684434644	12	4.33333333333333	4.33333333333333	4.33333333333333	0.25	0	0.75	0.583333333333333	0	9	3	"Briere"	0.230328379	0.066086048	0.18886701	0.009167783	0	3	"intermediaire"	87.25	576.43	9.93	0.7	1	1	"Permanent"	"Agricole"	10	0	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"27"	"120"	7	15	0.306122448979592	0	1.78021978021978	0.40002113271344	7	2.14285714285714	2.14285714285714	2.14285714285714	0.285714285714286	0	0.571428571428571	0.285714285714286	0	4	2	"Briere"	0.208156021	0	0.040318009	0	0	4	"peu"	12.87	9.58	8.53	0.4	1	0	"Temporaire"	"Agricole"	100	23.5549864077	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"28"	"1203"	15	93	0.413333333333333	0.0984237192719083	2.75614931812365	0.622809029012242	15	6.2	6.2	6.2	0.2	0	0.8	0.666666666666667	0	12	3	"Briere"	0.187838214	0	0.57784872	0.017234176	1762.173088	1	"beaucoup"	83.62	118.25	9.23	0.4	1	1	"Temporaire"	"Agricole"	100	42.8237750817	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"
"29"	"120bis"	8	22	0.34375	0	2.05769230769231	0.490440088757396	8	2.75	2.75	2.75	0.25	0	0.625	0.5	0	5	2	"Briere"	0.204517451	0	0.04097899	0	0	4	"peu"	26.73	41.56	14.04	0.65	1	0	"Temporaire"	"Agricole"	NA	28.3372066841	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"30"	"121"	8	23	0.359375	0	2.125	0.520486111111111	8	2.875	2.875	2.875	0.25	0	0.625	0.5	0	5	2	"Briere"	0.189568614	0	0.040128602	0	0	4	"peu"	87.03	155.06	11.59	0.45	1	0	"Temporaire"	"Agricole"	100	18.047843799	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
