"Site"	"n"	"L"	"C"	"Modularity"	"Mean_trophic_level"	"Mean_Omnivory_Index"	"Richesse_spe"	"Reseau"	"Bois"	"Cultures"	"Prairies"	"Surf_Urbanisees"	"Longueur_haies"	"Nb_de_mares"	"Vegetation_aquatique"	"Perimetre"	"Surface"	"Pente_en_rive_moyenne"	"Profondeur_maximum"	"Ecrevisses"	"Poissons"	"Hydroperiode"	"Anthropique"	"Ripysylve"	"Distance"
"45"	"142"	7	11	0.224489795918367	0.214876033057851	1.58333333333333	0.225611772486772	7	"Mes"	0.054312791	0.68052523	0.086764335	0.084137212	1020.115202	1	"beaucoup"	45.94	149.86	21.39	1.15	0	0	NA	"Agricole"	NA	2358.11843247
"46"	"143"	7	10	0.204081632653061	0	1.58730158730159	0.243018812463257	7	"Mes"	0	0.25327107	0.210908373	0.306838165	1517.405199	1	"peu"	19.76	28.03	35.94	1.8	1	0	NA	"Recreationnel"	NA	1385.76458499
"47"	"144"	8	18	0.28125	0	1.79485294117647	0.284512543252595	8	"Briere"	0.261104226	0.04597674	0.039592137	0.011845468	0	3	"beaucoup"	17.91	23.44	9.93	0.2	1	0	"Temporaire"	"Agricole"	0	0
"48"	"145"	9	19	0.234567901234568	0	1.83037037037037	0.21333536351166	9	"Mes"	0.10334643	0.541134471	0.102922265	0.14141357	1079.647026	0	"peu"	52.23	163.62	32.35	0.9	1	1	"Permanent"	"Recreationnel"	NA	1972.55700013
"49"	"146"	8	8	0.125	0.1796875	1.6875	0.18359375	8	"Briere"	0.017221275	0.259007619	0.345693865	0.30581935	1100.774184	2	"peu"	16.55	17.03	9.93	0.4	0	0	"Temporaire"	"Recreationnel"	NA	469.530307329
"50"	"147"	16	82	0.3203125	0	2.41963294826452	0.288840436631789	16	"Briere"	0.039912888	0.216873065	0.592013274	0.036565499	2352.129207	4	"beaucoup"	53.74	172.61	10.85	1.8	1	0	"Permanent"	"Recreationnel"	30	613.929024958
"51"	"2"	12	33	0.229166666666667	0.137281910009183	2.09283854166667	0.247358755313157	12	"Mes"	0.123774678	0.385861197	0.406902239	0.016427075	976.7104167	0	"beaucoup"	47.57	169.09	9.93	1	0	0	NA	"Agricole"	NA	2862.75789242
"52"	"22"	31	235	0.244536940686785	0.0692806922660897	3.16365535712763	0.650931580510132	31	"Mes"	0	0.540655651	0.219496703	0.210476406	1173.950146	0	"beaucoup"	171.8	536.44	16.26	1	0	0	"Temporaire"	"Agricole"	NA	1687.67640798
"53"	"24"	12	39	0.270833333333333	0.0356648199445982	2.1380303030303	0.229553475665748	12	"Mes"	0.089391463	0.312460703	0.385358229	0.104723093	1474.156785	3	"peu"	37.55	59.72	18	0.7	0	0	NA	"Agricole"	NA	1939.65183494
"54"	"25"	10	21	0.21	0.14875	2.06	0.234625	10	"Mes"	0.085776128	0.060294019	0.572982024	0.11589391	1818.685346	1	"peu"	86.22	495.21	18.78	0.9	0	1	"Permanent"	"Recreationnel"	NA	1852.7033659
"55"	"26"	11	35	0.289256198347107	0	2.04564935064935	0.214967389345348	11	"Mes"	0.081182676	0.680638647	0.064036123	0.049890318	885.6702586	2	"beaucoup"	35.46	79.05	11.31	0.25	0	0	"Temporaire"	"Agricole"	NA	2007.89845464
"56"	"27"	13	39	0.230769230769231	0.148148148148148	2.36468433527257	0.369129362453881	13	"Mes"	0.101551023	0.374555575	0.213128826	0.198574472	1674.209742	3	"peu"	146.84	1529.3	20.14	1.15	1	1	"Permanent"	"Recreationnel"	NA	1949.19032537
"57"	"28"	8	13	0.203125	0.162721893491124	1.75	0.168131510416667	8	"Mes"	0.032559035	0.524031971	0.371388336	0.025441684	1743.425945	1	"peu"	38.13	98.36	12.68	0.4	0	0	"Temporaire"	"Agricole"	NA	1753.18468913
"58"	"29"	20	107	0.2675	0.108764411794715	2.9451994396052	0.544296914775543	20	"Mes"	0.031536964	0.568142349	0.329269292	0.024232044	1765.610138	1	"beaucoup"	59.56	172.74	11.77	2.502809361	1	1	"Permanent"	"Agricole"	NA	1762.76700323
"59"	"3"	13	36	0.21301775147929	0.046938775510204	2.01085069444444	0.232376765790812	13	"Mes"	0.221683945	0.418372043	0.228091206	0.029515878	1873.364268	1	"intermediaire"	37.88	71.71	26.57	1.1	0	1	NA	"Agricole"	NA	2737.29876885
"60"	"30"	14	43	0.219387755102041	0.0405328798185942	2.17158092403628	0.281740307136928	14	"Mes"	0.042153082	0.293542398	0.283940908	0.225781747	2068.880893	2	"beaucoup"	124.66	746.98	20.77	3.606969523	1	1	"Permanent"	"Recreationnel"	NA	1429.42764475
"61"	"31"	13	37	0.218934911242604	0.130787037037037	2.24221351565101	0.312260069361974	13	"Mes"	0.049110182	0.092396797	0.341958923	0.251816666	1688.230245	2	"peu"	68.99	369.92	13.7	0.6	0	0	"Permanent"	"Agricole"	NA	1305.66245788
"62"	"32"	18	86	0.265432098765432	0.104453125	2.73912504272918	0.528904965138277	18	"Mes"	0.076873926	0.580824596	0.191506005	0.065290795	949.4198651	0	"beaucoup"	45.74	139.31	25.8	2.053657331	0	0	"Permanent"	"Agricole"	NA	1033.0827423
"63"	"33"	18	84	0.259259259259259	0.0948026215515927	2.35054622187776	0.249900786728691	18	"Mes"	0.185313346	0.293369397	0.215508253	0.192990664	859.1550699	5	"intermediaire"	83.37	392.27	24.94	0.85	1	1	"Permanent"	"Recreationnel"	NA	1317.37308727
"64"	"33bis"	12	49	0.340277777777778	0	2.32487059443074	0.447883386955002	12	"Mes"	0.273825854	0.363444244	0.155115501	0.088646913	665.7462595	4	"beaucoup"	43.17	103.9	10.85	0.5	0	0	"Temporaire"	"Agricole"	NA	1442.96071817
"65"	"34"	22	132	0.272727272727273	0.0483915033126153	3.011329444463	0.752565381061352	22	"Mes"	0.10290515	0.309730271	0.372401198	0.020408089	1839.419689	4	"intermediaire"	58.49	232.01	13.59	0.65	0	0	"Permanent"	"Agricole"	NA	1610.677584
"66"	"35"	13	36	0.21301775147929	0.0734693877551021	2.11875232255667	0.27285129987999	13	"Mes"	0.218539283	0.134214607	0.331198066	0.019596365	988.9920965	2	"peu"	72.83	293.49	24.52	0.8	1	1	NA	"Agricole"	NA	2557.06204303
"67"	"36"	23	154	0.291115311909263	0	3.05320935054308	0.761340840996723	23	"Mes"	0.054162301	0.341833208	0.435338545	0.017120198	1756.126562	4	"beaucoup"	49	142.51	9.93	1	0	0	"Permanent"	"Agricole"	NA	1619.28653284
"68"	"37"	24	158	0.274305555555556	0.011629013079667	3.04328146540366	0.653965911154024	24	"Mes"	0.115170566	0.332416109	0.371669102	0.045164678	1803.778139	4	"intermediaire"	38.28	67.78	19.29	1.439442206	0	1	"Permanent"	"Agricole"	NA	1521.42618238
"69"	"38"	10	25	0.25	0	1.99322916666667	0.171283185040509	10	"Mes"	0.118006425	0.383099682	0.104540994	0.181872478	1265.643042	3	"beaucoup"	57.55	210.35	25.99	0.7	1	1	"Permanent"	"Recreationnel"	NA	1133.76909159
"70"	"38bis"	13	48	0.284023668639053	0.168005671077505	2.29182357806646	0.335562912899093	13	"Mes"	0.256366385	0.333344304	0.175716049	0.094300302	757.4778301	4	"beaucoup"	87.39	325.56	32.62	0.95	0	0	"Permanent"	"Recreationnel"	NA	1420.93340795
"71"	"39"	12	42	0.291666666666667	0	2.10979166666667	0.220246809895833	12	"Mes"	0.081507924	0.315392475	0.407237621	0.018342367	1701.446471	4	"beaucoup"	19.17	26.13	7.13	0.25	0	0	"Temporaire"	"Agricole"	NA	1630.83195673
"72"	"4"	16	75	0.29296875	0.0888775510204082	2.50761313561096	0.371729560569847	16	"Mes"	0.092529953	0.489908141	0.310008713	0.060420786	1831.83659	2	"beaucoup"	36.36	79.88	9.93	0.55	1	0	"Temporaire"	"Agricole"	NA	2638.77480071
"73"	"40"	11	34	0.28099173553719	0.037629757785467	2.00515196608947	0.222540222430193	11	"Mes"	0.062835966	0.501599336	0.195574431	0.103393219	2497.328983	2	"beaucoup"	40.58	98.24	12.68	0.55	1	0	"Temporaire"	"Agricole"	NA	2247.03796012
"74"	"43"	12	33	0.229166666666667	0.044077134986226	2.00533854166666	0.208639359247117	12	"Mes"	0.006181293	0.387394047	0.171959087	0.360483967	1934.128216	2	"beaucoup"	36.52	70.98	15.38	0.6	0	0	"Permanent"	"Recreationnel"	NA	1659.19101317
"75"	"44"	20	122	0.305	0	2.92310692210454	0.670963120797282	20	"Briere"	0.097532439	0.595818268	0.112220236	0.099720366	1692.563192	1	"beaucoup"	39.38	98.61	8.53	0.8	0	0	"Temporaire"	"Agricole"	80	998.645216046
"76"	"45"	26	206	0.304733727810651	0.0810439560439561	3.50805806604525	1.01941947844469	26	"Mes"	0.116037877	0.779571952	0.019469897	0.038006224	1287.038568	0	"intermediaire"	52.98	126.96	14.04	1.5	0	1	"Permanent"	"Agricole"	NA	1504.75586927
"77"	"46"	24	191	0.331597222222222	0.00935374149659858	3.31942573413372	0.897342058629994	24	"Mes"	0.164305164	0.570515917	0.077634522	0.117176654	1867.143049	3	"beaucoup"	47.64	151.6	10.85	1.15	0	0	"Permanent"	"Agricole"	NA	1613.79553526
"78"	"47"	9	23	0.283950617283951	0.195652173913043	1.88618827160494	0.211863492905521	9	"Mes"	0.107896424	0.489756675	0.149044149	0.16448798	2299.404655	9	"peu"	141.13	1267.24	25.21	3.583260922	1	1	"Permanent"	"Recreationnel"	NA	1458.19720845
"79"	"48"	34	330	0.285467128027682	0.0311099166890622	2.95027008442002	0.477406809835083	34	"Mes"	0.119831247	0.58450692	0.1191825	0.087960801	2266.087036	6	"beaucoup"	52.57	165.59	13.13	1	0	0	"Permanent"	"Agricole"	NA	1383.70719645
"80"	"49"	15	65	0.288888888888889	0.0258844953173777	2.4605922400929	0.403201015105403	15	"Mes"	0.05575988	0.339743097	0.265239848	0.196448932	2104.969508	9	"peu"	44.82	113.85	34.02	5.697549495	1	0	"Permanent"	"Agricole"	NA	1417.79655435
"81"	"5"	18	88	0.271604938271605	0.106292517006803	2.64475816935637	0.430105487393447	18	"Mes"	0.017883039	0.302041602	0.360782171	0.260547017	899.3700041	0	"peu"	58.13	197.25	20.97	1.1	1	1	"Permanent"	"Recreationnel"	NA	2597.59890585
"82"	"50"	8	17	0.265625	0.076171875	1.86125886524823	0.253434654946934	8	"Mes"	0.01671099	0.295789566	0.310515821	0.254551349	1823.702148	8	"peu"	55.94	205.49	26.57	1.3	0	1	"Permanent"	"Recreationnel"	NA	1476.20471184
"83"	"51"	9	15	0.185185185185185	0.102040816326531	2.18518518518518	0.50977366255144	9	"Mes"	0.111113886	0.428607238	0.330418122	0.041454212	1932.876678	1	"peu"	72.49	242.85	13.59	0.75	0	1	"Permanent"	"Recreationnel"	100	1082.55662522
"84"	"52"	14	44	0.224489795918367	0.156571119524067	2.13779761904762	0.208050853587963	14	"Mes"	0.064351325	0.354559689	0.281657616	0.142964893	2384.494517	9	"peu"	31.19	58.34	18	0.6	0	0	"Temporaire"	"Agricole"	NA	1358.97922352
"85"	"53"	10	35	0.35	0	2.36858714087475	0.634352751998576	10	"Mes"	0.020510329	0.268215824	0.347111896	0.228160838	1927.557859	9	"beaucoup"	78.19	316.16	11.65	2.290107947	0	0	"Permanent"	"Recreationnel"	NA	1428.72544167
"86"	"54"	10	30	0.3	0	1.97734375	0.232188972627769	10	"Mes"	0.088139313	0.196972222	0.449751387	0.103380649	2193.17274	8	"peu"	51.99	115.49	8.53	0.55	1	0	"Temporaire"	"Recreationnel"	NA	1310.50162205
"87"	"55"	7	9	0.183673469387755	0	1.76190476190476	0.135912698412698	7	"Mes"	0.084877782	0.251826516	0.393116254	0.11646471	2334.67048	9	"peu"	48.75	122.13	18.86	0.75	0	1	"Permanent"	"Recreationnel"	NA	1289.64705648
"88"	"56"	25	162	0.2592	0.05303815143462	2.80250878299943	0.479595906981658	25	"Briere"	0.09127056	0.509010589	0.125233646	0.176536099	1384.015288	1	"beaucoup"	34.18	68.5	18	1.15	0	0	"Temporaire"	"Agricole"	0	1069.10047091
"89"	"57"	11	30	0.247933884297521	0.0541022592152198	2.16148907910272	0.315947142470796	11	"Mes"	0.077692708	0.654164266	0.149788681	0.054658416	1568.065414	1	"beaucoup"	35.64	79.16	16.04	0.8	0	0	"Temporaire"	"Agricole"	NA	1716.36259028
"90"	"58"	20	104	0.26	0.0261996378451789	2.85606049477333	0.657367063458796	20	"Mes"	0.001054333	0.301622116	0.546689771	0.051774008	1148.705841	5	"peu"	51.24	376.94	26.28	0.75	0	1	"Permanent"	"Agricole"	NA	1454.30202897
"91"	"59"	7	15	0.306122448979592	0	1.89285714285714	0.376190476190476	7	"Mes"	0.166218033	0.059907839	0.464181188	0.102714284	1938.138123	8	"peu"	79.21	222.36	21.8	1.35	0	1	"Permanent"	"Agricole"	NA	1149.27091896
"92"	"6"	15	48	0.213333333333333	0.072883657763694	2.39061728395061	0.330840322791241	15	"Mes"	0.058426737	0.573422984	0.183293092	0.087877229	1319.459324	2	"peu"	73.6	349.26	10.62	1.367680847	1	1	"Permanent"	"Recreationnel"	NA	2423.54399684
"93"	"60"	10	19	0.19	0.257716049382716	1.97828947368421	0.207727089104339	10	"Mes"	0.12280649	0.127804598	0.455882422	0.10390656	1927.645657	1	"beaucoup"	29.67	55.4	19.93	0.65	1	1	"Permanent"	"Recreationnel"	NA	1281.22630305
"94"	"61"	11	32	0.264462809917355	0.114464099895942	2.1792447609209	0.355047095862131	11	"Briere"	0.245805073	0.049493799	0.49099538	0.046953768	1394.1918	3	"beaucoup"	33.24	57.44	25.41	0.9	0	0	NA	"Agricole"	NA	1066.5188458
"95"	"62"	21	138	0.312925170068027	0.050477735712998	2.93032349028578	0.705824509185055	21	"Mes"	0.111450736	0.277591237	0.244549809	0.07606782	880.3712442	2	"beaucoup"	45.27	137.37	11.77	0.45	0	0	"Temporaire"	"Recreationnel"	NA	989.919038608
"96"	"63"	12	45	0.3125	0	2.20595238095238	0.364889802217183	12	"Briere"	0.046492563	0.093410323	0.206670546	0.333700468	391.0069362	2	"beaucoup"	95.76	415.77	24.7	4.048348737	1	0	"Permanent"	"Recreationnel"	NA	689.875676966
"97"	"64"	16	63	0.24609375	0.108610822060354	2.40843191069771	0.281500848634846	16	"Briere"	0.108928147	0.654614124	0.157383402	0.060839796	357.1277544	2	"beaucoup"	99.75	651.13	23.99	1.8	0	0	"Permanent"	"Agricole"	80	862.568951022
"98"	"65"	12	43	0.298611111111111	0.0540832882639265	2.13225594057067	0.207123980693548	12	"Briere"	0.092222671	0.680043191	0.133506437	0.06930601	624.3659902	2	"peu"	99.23	601.05	14.84	0.75	1	1	"Permanent"	"Agricole"	5	872.129513963
"99"	"66"	31	257	0.267429760665973	0	2.9452364674324	0.481335266085825	31	"Briere"	0.256305103	0.023590853	0.42061542	0.018524989	1336.02735	4	"peu"	43.78	143.93	18.86	1.15	0	0	"Permanent"	"Agricole"	30	68.7247155918
"100"	"67"	12	36	0.25	0.121107266435986	2.04613095238095	0.302616985741056	12	"Briere"	0.184877581	0.535355444	0.167156144	0.027803569	1613.085957	4	"beaucoup"	39.39	98.9	9.23	0.25	0	0	"Temporaire"	"Agricole"	40	831.323307902
"101"	"68"	15	65	0.288888888888889	0.0987252861602497	2.4327698967699	0.343201214516638	15	"Briere"	0.365805938	0.175989475	0.298873043	0.057967679	1137.786066	2	"peu"	129.76	1001.72	18.43	1.3	1	0	"Permanent"	"Agricole"	100	779.174654327
"102"	"69"	25	189	0.3024	0.0837180670975686	3.20859965352027	0.748723529547946	25	"Briere"	0.209453338	0.495323634	0.085495928	0.09332468	450.9158795	6	"intermediaire"	58.52	166.2	27.7	2.315680747	1	0	"Permanent"	"Agricole"	60	706.53743438
"103"	"70"	33	300	0.275482093663912	0.00649342000106568	3.00008242556615	0.551337497815143	33	"Briere"	0.186323847	0.429941053	0.252325948	0.043281661	1330.979962	3	"intermediaire"	92.04	525.49	30.11	0.95	1	0	"Permanent"	"Recreationnel"	75	623.03914887
"104"	"71"	15	63	0.28	0.0682612201021232	2.27239368998629	0.240467134218413	15	"Briere"	0.086051652	0.426560161	0.37998011	0.057582193	1096.159797	3	"peu"	45.88	134.96	21.8	1.542572014	0	0	"Permanent"	"Agricole"	40	598.242503718
